Original Rank,New Rank,Change,College,Faculty,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS,PR,,Total
77,87,-10,RV College of Engineering,354,14,26.98,14.13,8.76,8.32,5.63,0,0.5,25.68,14.78,16.14,0.4,6.57,23.18,0.56,20,15.86,41.513,43.84623077
95,88,7,College of Engineering Trivandrum,273,11.5,30,12.57,9.78,5.09,4.3,0,0.86,24.91,15,11.94,1.55,0.58,25.73,3.85,20,14.83,39.409,43.30953846
82,89,-7,"Veermata Jijabai Technological Institute, (VJTI, Mumbai)",225,12.5,23.84,12.39,11.61,4.64,4.75,0,2.23,33.29,15,15.79,1.94,3.77,23.92,5.91,20,9.28,41.08,43.13553846
110,90,20,Rajalakshmi Engineering College,481,14.05,28.83,13.52,7.74,1.45,2.93,0,0.58,28.39,15,10.63,2.13,4.56,25.29,4.08,20,3.56,37.709,43.227
93,91,2,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,698,12.02,25.25,12.19,6.35,11.61,13.25,3.5,0.13,18.53,9.07,10.78,0.16,19.38,18.7,5.53,20,4.9,39.849,42.67638462
102,92,10,Coimbatore Institute of Technology,248,11.26,30,14.57,8.16,2.48,4.03,1,0.96,20.58,11.81,10.22,0.77,0.64,24.37,5.49,20,32.73,38.737,42.61707692
90,93,-3,Kumaraguru College of Technology,388,13.26,27.14,13.51,7.85,6.77,5.93,2.5,0.56,28.09,13.64,10.59,0.16,0.93,24.15,0.64,20,15.86,39.91,42.42138462
66,94,-28,LPU,1156,17.89,24.14,11.6,9.07,7.96,11.81,6,0.2,18.26,15,10.55,2.01,24.17,18.49,1.81,20,14.83,43.695,42.19607692
72,95,-23,NIT Patna,162,11.17,18.42,12.32,12.55,10.67,11.42,0,2.21,30.97,13.58,14.23,3.08,10.35,9.71,10.72,20,9.87,42.065,41.56876923
83,96,-13,PES University,395,13.96,25.74,11.79,10.8,6.38,5.08,1.5,0.4,31.06,15,14.31,0.16,4.51,23.43,1.42,20,13.24,41.061,42.05723077
109,97,12,Sri Sairam Engineering College,391,12.58,25.17,11.67,6.13,3.92,4.04,3,0.32,30.45,15,11.6,1.88,2.88,26.2,8.75,20,2.17,37.835,41.30930769
104,98,6,Tezpur University,94,9.5,18.68,12.27,9.13,14.45,16.21,2,1.6,14.77,15,10.12,1.62,6.75,14.01,1.14,20,7.45,38.389,38.958
111,99,12,"Vignan's Foundation for Science, Technology and Research",490,13.55,25.75,12.66,5.79,6.27,7.36,2,0.21,21.64,15,11.52,1.06,5.68,26.8,3.78,20,1.46,37.693,41.79784615
92,100,-8,NIT Agartala,215,10.39,21.77,12.96,11.84,9.94,11.66,0,0.22,19.31,12.93,13.83,2.8,11.34,18.32,8.04,20,6.83,39.861,41.30507692
