ip_address,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
106.206.37.5,4,6,4,6,7,8,3,2,10,2,3,3,2,2,1,1,0
106.206.37.5,10,6,4,10,7,8,3,2,10,2,3,3,2,2,1,1,10
31.35.81.121,4,6,4,6,7,8,3,10,10,7,10,3,2,2,1,1,7
31.35.81.121,6,6,8,6,6,8,3,10,10,7,10,2,2,2,1,1,9
49.37.152.1,4,6,4,6,7,8,3,2,5,2,10,3,2,2,1,9,7
223.178.86.158,1,10,10,1,7,8,3,6,9,9,10,3,2,2,1,1,10
14.97.224.214,4,6,4,6,7,8,6,5,5,2,5,3,2,4,1,1,7
122.175.92.116,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
122.175.92.116,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
122.175.92.116,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
122.175.92.116,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
122.175.92.116,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
122.175.92.116,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
172.58.141.240,3,10,0,8,3,7,3,2,9,2,10,0,9,9,1,1,7
42.106.35.2,0,5,6,6,4,7,4,5,10,5,8,3,3,6,1,4,0
42.106.35.2,0,5,6,6,2,7,4,5,10,4,10,3,3,6,1,0,0
42.106.35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.106.35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
42.106.35.2,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0
103.159.33.105,4,10,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
103.159.33.105,4,5,10,6,10,10,10,10,10,2,3,3,2,10,1,1,7
62.99.164.254,4,7,9,7,10,10,10,10,3,9,8,10,2,2,1,1,7
14.139.239.74,0,0,4,1,1,10,2,2,4,1,0,0,0,0,0,0,2
68.113.248.48,4,6,7,6,7,10,3,4,5,2,3,3,0,0,0,0,0
137.97.115.110,8,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
37.245.78.153,4,8,7,9,7,8,3,2,8,2,3,3,2,2,1,1,7
106.208.14.127,10,5,5,7,7,8,3,2,5,2,3,10,2,10,4,1,10
217.165.21.79,4,8,4,8,7,8,3,5,7,2,3,3,4,2,1,1,7
122.171.52.34,10,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
182.18.177.62,4,6,4,6,7,8,3,2,5,2,3,0,2,2,1,1,7
182.18.177.62,4,6,4,6,7,8,3,2,5,2,3,0,2,2,1,1,0
182.18.177.62,4,6,4,6,0,0,0,0,5,2,3,0,2,4,1,1,0
182.18.177.62,4,6,4,6,2,0,0,0,5,2,3,0,2,4,1,1,0
182.18.177.62,4,6,4,6,2,0,0,2,5,2,3,0,2,4,1,1,0
182.18.177.62,4,6,4,6,2,0,0,5,5,2,3,0,2,4,1,1,0
182.18.177.62,4,6,4,6,2,5,0,5,5,2,3,0,2,4,1,1,0
182.18.177.62,3,6,4,10,2,5,0,5,5,2,3,0,2,4,1,1,0
117.99.252.124,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
38.41.64.120,4,6,8,6,7,8,3,2,5,2,3,3,2,2,1,1,7
38.41.64.120,4,6,8,6,7,8,3,2,5,2,3,3,2,4,1,2,10
38.41.64.120,4,6,8,6,7,8,3,2,5,7,3,3,2,4,1,2,10
38.41.64.120,4,6,8,6,7,8,3,2,5,7,10,3,2,4,3,2,10
38.41.64.120,4,6,8,6,7,8,3,2,10,7,10,10,2,4,3,2,10
38.41.64.120,4,6,8,6,10,10,10,10,10,7,10,10,2,4,3,2,10
38.41.64.120,4,6,8,6,10,10,10,10,10,10,10,10,2,4,3,2,10
38.41.64.120,10,10,10,10,10,10,10,10,10,10,10,10,2,4,3,2,10
38.41.64.120,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
103.163.248.84,10,6,10,10,7,7,3,2,5,2,3,3,10,4,4,0,10
122.162.215.217,7,6,4,6,7,8,3,10,10,2,3,3,2,2,1,1,10
223.186.8.214,4,6,4,2,7,8,3,2,5,2,3,3,2,2,1,1,5
103.27.10.109,10,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
103.27.10.109,4,6,4,6,10,10,10,10,5,2,3,3,2,2,1,1,7
36.255.228.69,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
2.50.111.23,5,5,10,4,7,10,6,5,6,6,9,8,4,4,4,4,8
2.50.111.23,7,5,6,8,9,7,3,2,8,8,6,6,2,2,7,1,9
2.50.111.23,2,2,3,2,2,10,2,1,2,6,3,0,2,2,2,5,2
2.50.111.23,0,10,10,10,10,10,10,8,2,6,3,1,2,2,2,5,2
2.50.111.23,10,10,10,10,6,3,3,6,2,6,10,8,0,0,9,0,0
2.50.111.23,10,10,10,8,10,10,10,10,10,10,10,6,10,10,9,10,10
2.50.111.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2.50.111.23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2.50.111.23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0
2.50.111.23,0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0
106.223.177.124,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
49.205.118.110,4,6,2,6,7,8,3,2,5,2,3,3,2,2,1,1,7
49.205.118.110,4,6,2,6,4,4,0,0,10,1,10,3,10,10,10,10,5
103.211.15.93,0,0,10,4,0,0,0,0,10,0,10,0,0,0,0,0,10
172.58.22.242,2,7,7,4,8,8,3,5,8,2,6,7,4,4,3,0,7
106.223.188.13,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
157.47.83.141,4,6,10,4,5,9,3,2,9,2,8,3,2,10,1,1,7
122.187.88.163,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,3
183.83.46.18,4,6,4,6,7,8,3,2,10,2,10,3,2,2,1,1,7
122.174.251.157,1,9,9,1,6,9,6,9,9,9,9,5,1,1,9,1,9
